municipality,region,latitude,longitude,russian_lang,elev,dist_road,pop_density,dist_russia,rebel_violence
Vivcharove,Luhansk,49.85415,38.58465,0.124322222,0.262390671,0.034694843,0.006915213,0.067358069,0
Otradnyy,Donetsk,48.13333,37.2,0.1513,0.542274052,0.33939456,0.011367429,0.703938254,0
Otradnyy,Donetsk,47.78333,36.73333,0.184155556,0.460641399,0.267769328,0.010990025,0.834836009,0
Osykove,Donetsk,47.78907,38.20571,0.592333333,0.437317784,0.241248107,0.017927729,0.135140912,1
Ostrivske,Donetsk,48.00215,37.3463,0.475744444,0.346938776,0.136888179,0.25320425,0.596491103,0
Oskolonivka,Luhansk,48.85273,38.66,0.345744444,0.29154519,0.262943556,0.014674941,0.563053541,0
Osynove,Luhansk,49.57948,39.05653,0.078233333,0.189504373,0.005764201,0.010089722,0.134514952,0
Osikovo,Luhansk,49.66667,39.38333,0.068055556,0.44606414,0.002890397,0.008447322,0.041279221,0
Orlovo-Ivanivka,Donetsk,48.17444,38.46694,0.534311111,0.728862974,0.684517342,0.007299015,0.272319995,0
Orlivka,Luhansk,49.08263,38.72789,0.0752,0.349854227,0.08000592,0.013884914,0.427799186,1
Orlovka,Luhansk,48.42384,39.63032,0.595588889,0.50728863,0.553248225,0.010288488,0.099755718,1
Orlivka,Donetsk,48.16348,37.64492,0.463133333,0.510204082,0.437378399,0.015156474,0.506463913,1
Orlov,Luhansk,49.08333,38.73333,0.0752,0.367346939,0.053493978,0.013884914,0.426503785,1
Orlynske,Donetsk,47.65342,36.76606,0.226311111,0.376093294,0.002491782,0.011012678,0.768954629,0
Orekhovskiy,Donetsk,48.0125,38.69528,0.674422222,0.571428571,0.004912891,0.297182575,0.115771648,0
Orikhovo-Vasylivka,Donetsk,48.6788,37.88358,0.103744444,0.443148688,0.215261716,0.013675658,0.662201825,0
Orikhove-Donetske,Luhansk,48.77068,38.80146,0.407388889,0.15451895,0.161967553,0.023269169,0.490115948,0
Orikhove,Luhansk,48.72262,38.56399,0.301266667,0.536443149,0.00907038,0.016443633,0.50909406,1
Orikhove,Luhansk,48.04005,39.16837,0.527911111,0.486880466,0.064216324,0.010149507,0.103425077,1
Orikhivka,Luhansk,48.29083,39.20306,0.5322,0.620991254,0.004290076,0.030088421,0.23977976,0
Orikhuvatka,Donetsk,48.80441,37.768,0.358688889,0.489795918,0.084777205,0.020201416,0.648706944,0
Orekhov,Luhansk,48.875,38.94833,0.717233333,0.443148688,0.142380965,0.00932891,0.410722262,0
Orekhov,Donetsk,47.11667,37.88333,0.418633333,0.12244898,0.019483457,0.016223006,0.203585198,0
Vilshany,Luhansk,49.87258,38.49708,0.181044444,0.460641399,0.078631442,0.006915213,0.053827318,0
Vilkhove,Luhansk,48.67642,39.57195,0.852266667,0.224489796,0.267634834,0.011763453,0.056574856,1
Olkhovka,Luhansk,48.40611,39.14306,0.643322222,0.29154519,0.094786518,0.030088415,0.308328111,0
Olkhovka,Luhansk,48.17806,39.78984,0.898022222,0.574344023,0.207988437,0.007040393,0.064007546,0
Vilkhivka,Donetsk,48.09667,38.31917,0.860111111,0.495626822,0.264483573,0.224265053,0.270683333,0
Olkhovchik,Donetsk,48.06667,38.51667,0.675766667,0.539358601,0.18459345,0.327587367,0.213432102,0
Olkhovatka,Donetsk,48.25189,38.41282,0.604277778,0.583090379,0.466958744,0.273189606,0.324172966,0
Olhynske,Donetsk,47.72092,38.3956,0.471966667,0.306122449,0.127447264,0.015849296,0.058661476,0
Olhynka,Donetsk,47.69633,37.5124,0.363188889,0.626822157,0.007484379,0.025781362,0.450205392,1
Olenovka,Donetsk,48.25128,38.32022,0.694511111,0.574344023,0.227028812,0.201425148,0.354989677,0
Olenivka,Donetsk,47.82811,37.66046,0.584177778,0.603498542,0.01321221,0.025781362,0.394156164,1
Zhovtneve,Luhansk,49.41361,37.95028,0.136211111,0.349854227,0.265063466,0.010873341,0.291182855,1
Oktyabrske,Donetsk,48.45854,37.35465,0.231288889,0.259475219,0.106867367,0.008596659,0.739757753,1
Oktyabrskoye,Donetsk,47.98333,37.31667,0.470388889,0.352769679,0.008088215,0.027643038,0.607007236,0
Oktyabrske,Donetsk,47.70519,36.94137,0.233188889,0.463556851,0.050008522,0.010990025,0.725564573,1
Oktyabrske,Donetsk,47.50891,37.47812,0.445344444,0.574344023,0.166696365,0.025781362,0.435391359,1
Oktyabrskiy,Luhansk,47.85,39.13333,0.215488889,0.472303207,0.034822899,0.009741141,0.002771407,1
Oktyabrske,Donetsk,47.50235,38.1862,0.258377778,0.186588921,0.328070747,0.014032889,0.059720056,1
Oktyabrske,Donetsk,47.28632,38.09076,0.160677778,0.201166181,0.168058151,0.015089435,0.076922381,0
Ohulchansk,Luhansk,48.52679,39.66238,0.513344444,0.460641399,0.077077775,0.010288488,0.038914524,0
Ocheretyne,Donetsk,48.74202,37.12138,0.105322222,0.518950437,0.478872867,0.009694312,0.842144263,0
Ocheretyne,Donetsk,48.24518,37.61624,0.454144444,0.699708455,0.067311034,0.015156474,0.549881111,0
Obryv,Donetsk,47.09869,38.18523,0.601588889,0.032069971,0.140560982,0.016223006,0.053288993,1
Obozne,Luhansk,48.73205,39.3103,0.574711111,0.379008746,0.188726463,0.023995524,0.205184913,1
Oborotnivka,Luhansk,49.58968,38.04218,0.057244444,0.282798834,0.664413596,0.010873341,0.188019204,0
Obilne,Donetsk,47.82879,37.87871,0.681955556,0.379008746,0.073604328,0.037696634,0.286638113,0
Nyrkove,Luhansk,48.73932,38.31049,0.158488889,0.690962099,0.355823113,0.015938955,0.576713338,1
Nozdrivka,Luhansk,49.01897,39.66794,0.421833333,0.148688047,0.098396207,0.005932292,0.003494092,0
Novyy Svit,Donetsk,47.80591,38.02112,0.730688889,0.352769679,0.32151717,0.168992385,0.213795776,1
Nova Maryivka,Donetsk,47.4494,37.9417,0.391433333,0.396501458,0.095345827,0.011152706,0.176117349,0
Rozdolne,Donetsk,47.90711,36.91793,0.460111111,0.434402332,0.10762563,0.010990025,0.804517646,1
Novyy Komar,Donetsk,47.88252,36.83894,0.362177778,0.309037901,0.032411776,0.010990025,0.840234382,0
Pervomayskiy,Donetsk,47.99474,37.22041,0.234044444,0.422740525,0.042394976,0.027643038,0.659259096,0
Novyye Sadki,Donetsk,47.39544,38.12143,0.184811111,0.311953353,0.11111247,0.011152706,0.071453189,0
Novyy Donbass,Donetsk,48.06667,38.78333,0.754944444,0.819241983,0.308529285,0.252728008,0.119058365,0
Novozvanivka,Luhansk,48.58379,38.35723,0.254677778,0.443148688,0.386805416,0.016443633,0.488357959,1
Novozaryivka,Donetsk,47.63898,38.13489,0.680022222,0.405247813,0.055696168,0.018529607,0.107608643,0
Novoye Solntsevo,Donetsk,47.55,38.08333,0.476877778,0.478134111,0.16026016,0.018529607,0.118120625,0
Novoyelyzavetivka,Donetsk,48.13683,37.04094,0.265422222,0.422740525,0.275457949,0.011367429,0.784685516,0
Novoolenivka,Donetsk,48.39327,37.54031,0.218877778,0.396501458,0.062620936,0.007055298,0.639657381,0
Novoolenivka,Donetsk,48.13902,37.08657,0.190211111,0.50728863,0.018962206,0.011367429,0.762120698,0
Novomykolayivka,Donetsk,47.83895,37.69305,0.642855556,0.699708455,0.053457709,0.026003567,0.380292581,0
Novoyelanchyk,Donetsk,47.77972,38.43221,0.419555556,0.364431487,0.132068862,0.015849296,0.081589663,0
Novokaterynivka,Donetsk,47.72627,38.11033,0.536655556,0.256559767,0.025495381,0.018529607,0.146351595,0
Novoyavlenka,Donetsk,48.63839,37.20103,0.087866667,0.463556851,0.009847882,0.009694312,0.863874395,0
Novoyanysol,Donetsk,47.29325,37.2685,0.535088889,0.39941691,0.062192055,0.010494694,0.428767804,0
Novo-Vybrevo,Donetsk,47.1948,37.84739,0.459322222,0.172011662,0.073678398,0.016223006,0.21937774,0
Novovodyane,Luhansk,49.27382,38.02218,0.137333333,0.27696793,0.032723318,0.014118785,0.366265905,0
Novovodyanoye,Donetsk,48.54434,37.14666,0.1017,0.55393586,0.155709465,0.009454326,0.859662779,0
Novo-Viktorovka,Donetsk,48.53468,36.97878,0.074844444,0.551020408,0.355094376,0.009472976,0.930829172,0
Novovasylivka,Donetsk,48.20497,37.04212,0.201588889,0.355685131,0.019482728,0.011367429,0.801528674,0
Novo-Uspenka,Luhansk,48.4,39.21667,0.393077778,0.352769679,0.055567187,0.030088415,0.277294227,0
Novoukrayinka,Donetsk,47.83761,37.10495,0.224655556,0.548104956,0.088616285,0.027034404,0.692467474,0
Novo-Ukrainka,Donetsk,47.63333,36.95,0.271111111,0.352769679,0.050860993,0.010990025,0.690812866,0
Novotroitskoye,Donetsk,48.57797,37.21584,0.104166667,0.571428571,0.019471976,0.009513439,0.843007895,1
Novotroyitske,Donetsk,48.19526,37.08885,0.1959,0.376093294,0.03391041,0.04922022,0.775738159,1
Novotroyitske,Donetsk,47.7158,37.59189,0.614444444,0.498542274,0.057844037,0.025781362,0.409224077,1
Novotoretske,Donetsk,48.4082,37.32573,0.204477778,0.381924198,0.092771948,0.009570782,0.732919231,0
Novo-Ternovka,Donetsk,48,37.25,0.302633333,0.32361516,0.105780877,0.027643038,0.645156279,0
Novosvitlivka,Luhansk,48.49285,39.50699,0.627,0.21574344,0.006881392,0.010288488,0.110336996,1
Novodvirske,Donetsk,47.84302,38.14629,0.610855556,0.644314869,0.030429589,0.319387875,0.180050915,1
Novostriltsivka,Luhansk,49.32208,39.91468,0.177733333,0.253644315,0.018022555,0.007947846,0.103211458,0
Novospasivka,Luhansk,49.26528,39.78583,0.068577777777777807,0.376093294,0.184738769,0.007272797,0.111130029,0
Novo-Sofiyevka,Donetsk,48.03333,37.41667,0.413955556,0.419825073,0.216529195,0.027643038,0.569673951,0
Novosirotino,Luhansk,48.95,38.45,0.467166667,0.16909621,0.067215207,0.781507183,0.558376398,0
Novoselivka Persha,Donetsk,48.19606,37.52963,0.332977778,0.521865889,0.048431911,0.015156474,0.567849353,1
Novoselivka,Donetsk,49.0701,37.69517,0.145511111,0.300291545,0.059520783,0.009892355,0.517772672,1
Lysevka,Luhansk,48.83972,39.83194,0.8162,0.134110787,0.116988739,0.011599331,0.00193192,1
Novoselovka,Luhansk,48.58333,39.1,0.476866667,0.137026239,0.179582943,0.02493247,0.314842996,1
Novoselyvka,Donetsk,48.539,37.64854,0.3727,0.274052478,0.446379351,0.489628563,0.662238051,1
Novoselivka Druha,Donetsk,48.20953,37.79483,0.540711111,0.364431487,0.154229733,0.015156474,0.466498865,1
Novoukrayinka,Donetsk,48.03333,36.86667,0.332355556,0.373177843,0.014536632,0.010946491,0.853289744,1
Novoselivka,Donetsk,47.83693,37.83965,0.584277778,0.364431487,0.249478075,0.018529607,0.307897414,1
Novoselivka,Donetsk,47.40246,37.7314,0.350877778,0.344023324,0.118308156,0.011152706,0.282742925,1
Novoselovka,Donetsk,47.1153,37.54139,0.676522222,0.102040816,0.026917396,0.944771236,0.26316251,1
Novosilka,Donetsk,47.83836,36.68642,0.144455556,0.413994169,0.102592606,0.010990025,0.875622833,1
Novoselydivka,Donetsk,48.05745,37.29288,0.5251,0.483965015,0.291598969,0.098348879,0.637513363,0
Novorozsosh,Luhansk,49.54568,39.23632,0.068611111,0.256559767,0.062850402,0.010089722,0.12369813,0
Novoromanivka,Donetsk,47.22058,37.1775,0.305444444,0.314868805,0.195452291,0.010494694,0.432117117,0
Novo-Rayskoye,Donetsk,48.58333,37.48333,0.249244444,0.241982507,0.091430484,0.014096788,0.740834184,0
Novopskov,Luhansk,49.5464,39.08987,0.076066667,0.201166181,0.013685481,0.010089722,0.154918535,1
Novopreobrazhenne,Luhansk,49.55178,38.35802,0.108733333,0.428571429,0.568306456,0.009952016,0.247307467,0
Novo-Preobrazhenka,Donetsk,47.56667,37.31667,0.310088889,0.60058309,0.055395249,0.025781362,0.531853971,0
Novopil,Donetsk,47.80706,36.62461,0.122355556,0.495626822,0.051036791,0.011068547,0.88672556,0
Novopetrivka,Donetsk,48.59832,36.85802,0.059088889,0.335276968,8.91510187217989e-4,0.009694312,0.926799354,0
Novopetrivske,Donetsk,47.87644,38.41251,0.240055556,0.206997085,0.112248045,0.015849296,0.13727906,0
Novo-Petropavlovka,Donetsk,47.48333,37.36667,0.463433333,0.577259475,0.322164598,0.025781362,0.492992412,0
Novopetrykivka,Donetsk,47.63217,36.9293,0.271111111,0.39941691,0.015845338,0.010990025,0.697788585,0
Novopavlovka,Luhansk,48.06667,38.9,0.475411111,0.236151603,0.037276804,0.18608295,0.10837562,0
Novo-Pavlovka,Donetsk,48.58047,37.03852,0.221588889,0.530612245,0.11090588,0.009655984,0.9197527,0
Novopavlivka,Luhansk,48.40889,39.07167,0.381,0.317784257,0.288456276,0.030088415,0.307482575,0
Novopavlivka,Donetsk,47.56125,37.44063,0.328622222,0.655976676,0.127320447,0.025781362,0.463930451,0
Novoorlivka,Donetsk,48.18417,38.41306,0.6453,0.801749271,0.3994394,0.007299015,0.299450307,1
Omelkove,Luhansk,49.13632,39.08486,0.070755556,0.29154519,0.011081859,0.015800481,0.333865713,0
Novoocheretuvate,Donetsk,47.90023,36.81148,0.440644444,0.300291545,0.141865206,0.010990025,0.857524609,0
Novomykilske,Luhansk,49.34887,39.8446,0.148133333,0.256559767,0.067726462,0.007947846,0.122459225,0
Novomykilske,Luhansk,49.29936,38.1797,0.1177,0.195335277,0.044386484,0.012749652,0.361266623,0
Novo-Nikolayevskiy,Donetsk,48.25,37.31667,0.299644444,0.542274052,0.140431143,0.057780438,0.682318226,0
Novo-Nikolayevskiy,Donetsk,48.05,37.28333,0.463533333,0.510204082,0.238661413,0.106267411,0.64036879,0
Novonikolayevka,Donetsk,48.88333,37.78333,0.272977778,0.27696793,0.589001637,0.028345125,0.603381924,0
Novomykolayivka,Donetsk,48.88793,37.37504,0.137144444,0.379008746,0.426993207,0.01280105,0.692322085,0
Novonikolayevka,Donetsk,48.56298,37.37154,0.210611111,0.274052478,0.39418353,0.12878846,0.774670664,0
Novomykolayivka,Donetsk,48.18883,36.9271,0.167122222,0.32361516,0.037652684,0.011325753,0.855297354,0
Novonikanorovka,Luhansk,49.68928,38.21271,0.336833333,0.271137026,0.047593797,0.009166715,0.147415388,0
Novomykhaylivka,Donetsk,47.85381,37.48414,0.293522222,0.44606414,0.3494392,0.027643038,0.491336468,0
Novomykhaylivka,Donetsk,47.55841,38.0427,0.580477778,0.411078717,0.041719998,0.018529607,0.141497812,0
Novo-Mikhaylovka,Donetsk,47.55,38.05,0.5015,0.478134111,0.007996811,0.018529607,0.136763379,0
Novomayorske,Donetsk,47.73157,37.03884,0.216077778,0.416909621,0.053018799,0.011023364,0.705687575,0
Novomaryivka,Donetsk,48.15108,38.14686,0.763533333,0.33819242,0.143198721,0.348657921,0.329929383,0
Novolymarivka,Luhansk,49.27891,39.60333,0.112977778,0.204081633,0.053019884,0.007272797,0.133625218,0
Novolaspa,Donetsk,47.57329,37.87772,0.785533333,0.498542274,0.177099496,0.011152706,0.234862782,1
Novokryvorizhzhya,Donetsk,48.48861,36.89594,0.041166667,0.504373178,0.019749272,0.009454298,0.95447815,0
Novokrasnyanka,Luhansk,49.13419,38.27882,0.332811111,0.300291545,0.389660264,0.014118785,0.461113999,1
Novokrasnivka,Luhansk,47.93515,39.28644,0.136577778,0.247813411,0.003674146,0.010149507,0.039913569,0
Novokrasnivka,Donetsk,47.31607,37.15632,0.3987,0.486880466,0.02802175,0.010494694,0.479166122,0
Novoklynivka,Donetsk,47.8585,38.44928,0.300966667,0.317784257,0.138349348,0.015849296,0.124879702,0
Novokyyivka,Luhansk,48.58471,39.66623,0.661877778,0.10787172,0.309993334,0.01053274,0.009546901,0
Novokhatske,Donetsk,48.06341,36.68728,0.406288889,0.274052478,0.246849304,0.0109772,0.95460118,0
Berestove,Donetsk,47.58749,38.32997,0.3883,0.376093294,0.427431632,0.018529607,0.01018794,1
Novyy Kavkaz,Donetsk,48.75434,36.86083,0.098111111,0.521865889,0.347234586,0.0097027,0.839676576,0
Novo-Karpovka,Donetsk,47.48333,38.11667,0.283188889,0.306122449,0.431827829,0.01122655,0.100282305,0
Novo-Karpovka,Donetsk,47.20429,37.12412,0.246988889,0.29154519,0.018132067,0.011422018,0.448197876,0
Novoivanivka,Donetsk,47.67831,38.38343,0.480411111,0.274052478,0.172666062,0.015849296,0.037910566,1
Novohnativka,Donetsk,47.64316,37.69483,0.577722222,0.466472303,0.002329872,0.025781362,0.343237321,1
Novohrodivka,Donetsk,48.20135,37.33929,0.2604,0.618075802,0.363560273,0.012067711,0.656373657,0
Novohryshyne,Donetsk,48.4168,37.02648,0.068288889,0.373177843,0.214545763,0.080177304,0.870677235,0
Novohryhorivka,Donetsk,48.36554,38.41819,0.268311111,0.900874636,0.086348483,0.262696712,0.368760527,0
Novohryhorivka,Donetsk,47.56166,37.3942,0.375055556,0.620991254,0.133105122,0.025781362,0.489039485,0
Novohryhorivka,Donetsk,47.19513,37.21502,0.369611111,0.344023324,0.237042242,0.010494694,0.40694243,0
Novogrigorovka,Donetsk,48.57752,37.41703,0.169577778,0.29154519,0.275881382,0.025986311,0.763364178,1
Novogorodishche,Luhansk,49.43333,39.25,0.1236,0.466472303,0.415086307,0.007537526,0.1836181,0
Novo-Gavriya,Donetsk,47.1722,37.85376,0.394055556,0.148688047,0.077571166,0.016223006,0.216068334,0
Novoekonomichne,Donetsk,48.33225,37.3293,0.332988889,0.309037901,0.00831829,0.011367429,0.704147892,0
Novoekonomicheskoye,Donetsk,48.3,37.25,0.374922222,0.548104956,0.037675677,0.489530535,0.729313676,0
Novo-Dubovka,Donetsk,47.12369,37.0896,0.203977778,0.306122449,0.207740327,0.013300672,0.435970957,0
Novodruzhesk,Luhansk,48.96267,38.35728,0.384055556,0.536443149,0.378983272,0.312205017,0.56483335,0
Novodonetske,Donetsk,48.63526,36.98477,0.141133333,0.437317784,0.323068626,0.176100327,0.91766946,0
Novodonetske,Donetsk,47.75457,36.95997,0.323888889,0.396501458,0.252503995,0.010990025,0.741633997,0
Novoderkul,Luhansk,49.12781,39.62806,0.209877778,0.186588921,0.006533989,0.007272797,0.050850046,0
Novodaryivka,Luhansk,48.07745,39.47689,0.773255556,0.862973761,0.157024145,0.056633084,0.121981013,1
Novodaryivka,Luhansk,47.96373,39.38158,0.225355556,0.320699708,0.008958492,0.005102762,0.04916801,0
Novodarivka,Donetsk,47.78241,36.6328,0.148655556,0.481049563,0.215221606,0.011184034,0.873596651,0
Novochervone,Luhansk,49.63115,38.29848,0.236,0.247813411,0.051304846,0.006915213,0.194137212,0
Novochaykino,Donetsk,48.05,37.91667,0.651666667,0.70845481,0.136056691,0.48748702,0.353802431,0
Novobulakhivka,Luhansk,48.29806,39.08728,0.693566667,0.801749271,0.35628577,0.030088421,0.245864129,0
Novoborove,Luhansk,49.24588,38.54999,0.120466667,0.239067055,0.502663338,0.015736159,0.386683953,0
Novoborovytsi,Luhansk,47.86452,39.50739,0.254077778,0.562682216,0.030173185,0.005104221,0.010135389,1
Novobesheve,Donetsk,47.8109,37.86634,0.592433333,0.478134111,0.088899042,0.018529607,0.287527772,0
Novofedorivka,Donetsk,48.43333,36.96667,0.078177778,0.326530612,0.199981334,0.009454298,0.904006487,0
Novobelyanka,Donetsk,48.76667,37.61667,0.441655556,0.236151603,0.159105058,0.168579153,0.69360569,0
Novobila,Luhansk,49.7702,39.18221,0.066044444,0.227405248,0.047294186,0.010089722,0.035542698,0
Novobakhmutovka,Donetsk,48.24894,37.78541,0.493266667,0.419825073,0.267800887,0.015156474,0.486548434,0
Novo-Bakhmetyeve,Donetsk,48.73916,36.83624,0.068444444,0.530612245,0.287933874,0.009694312,0.846424931,0
Novoazovsk,Donetsk,47.11389,38.08599,0.495488889,0.069970845,0.001225746,0.016223006,0.09403813,1
Novoaydar,Luhansk,48.96391,39.00583,0.635288889,0.15451895,0.019894682,0.00784662,0.372561033,1
Novoatamanskoye,Donetsk,48.55806,38.25528,0.310388889,0.416909621,0.512453305,0.016022956,0.511070702,0
Novohannivka,Luhansk,48.43565,39.52592,0.6184,0.282798834,0.035863263,0.010288488,0.124758465,1
Novoandriyivka,Donetsk,48.67932,37.05489,0.101333333,0.335276968,0.104127559,0.009694312,0.893120806,0
Novoandriyivka,Donetsk,47.64769,37.34737,0.215411111,0.638483965,0.271569526,0.025781362,0.529402926,0
Novoamvrosiyivske,Donetsk,47.83331,38.49973,0.340655556,0.472303207,0.19706056,0.015849296,0.110491605,1
Novo-Alekseyevskiy,Donetsk,48.59795,37.35197,0.1207,0.405247813,0.385323722,0.010398097,0.796612086,0
Novooleksiyivka,Donetsk,47.38207,37.58534,0.602944444,0.326530612,0.272648718,0.025750014,0.362726866,0
Novooleksandrivka,Donetsk,48.35271,37.07182,0.085388889,0.428571429,0.008334714,0.010166989,0.829489087,0
Novoaleksandrovka,Luhansk,49.93333,38.46667,0.098466667,0.448979592,0.359672342,0.006915213,0.028044555,0
Novooleksandrivka,Luhansk,49.78677,38.13828,0.744988889,0.428571429,0.345876449,0.006915213,0.085604422,1
Oleksandrivka,Luhansk,49.63711,38.17893,0.207466667,0.253644315,0.117126352,0.010873341,0.171896158,1
Novooleksandrivka,Luhansk,49.25958,38.19763,0.209888889,0.198250729,0.059355734,0.014118785,0.384741242,1
Novooleksandrivka,Luhansk,49.13278,39.28418,0.084544444,0.253644315,0.019171621,0.013764575,0.222844054,1
Novooleksandrivka,Donetsk,48.76782,36.85261,0.098111111,0.524781341,0.442651879,0.0097027,0.831521473,1
Novo-Aleksandrovka,Donetsk,48.30058,36.90122,0.083111111,0.332361516,0.002296715,0.011247642,0.89715415,0
Novooleksandrivka,Luhansk,48.26194,39.63714,0.8122,0.241982507,0.011761732,0.010288488,0.124223442,1
Novo-Aleksandrovka,Luhansk,47.86861,39.48944,0.255577778,0.530612245,0.09835075,0.005446915,0.008345005,0
Novookhtyrka,Luhansk,48.91559,38.81199,0.444666667,0.373177843,0.028935586,0.00784662,0.483801147,0
Novgorodskoye,Donetsk,48.3269,37.84683,0.506966667,0.300291545,0.067285707,0.215178343,0.499556239,1
Novaya Nikolayevka,Donetsk,47.58322,37.66263,0.566011111,0.524781341,0.354052613,0.025781362,0.350624855,0
Novaya Kondrashevka,Luhansk,48.67901,39.46295,0.841533333,0.157434402,0.328662928,0.011763453,0.114083299,0
Novaya Kamenka,Donetsk,47.57813,38.17672,0.397577778,0.32361516,0.370416022,0.018529607,0.070693027,1
Novoheorhiyivka,Donetsk,47.86899,36.56994,0.147611111,0.454810496,0.082247372,0.014453358,0.933275686,0
Nova Astrakhan,Luhansk,49.12654,38.60505,0.065122222,0.212827988,0.011376548,0.014118785,0.429445407,0
Novooleksandrivka,Donetsk,47.39303,38.25641,0.260466667,0.262390671,0.337753031,0.011152706,0.011908657,1
Nyzhnya Vilkhova,Luhansk,48.7392,39.57144,0.897266667,0.381924198,0.059231179,0.011763453,0.07685745,0
Nizhnyaya Loshchina,Luhansk,48.70194,39.58139,0.888822222,0.317784257,0.161891648,0.011763453,0.061355042,0
Nyzhnya Krynka,Donetsk,48.1135,38.16064,0.755944444,0.504373178,0.090347731,0.352145376,0.307354128,1
Nizhnyaya Ivanovka,Luhansk,48.13833,38.755,0.648766667,0.408163265,0.070628464,0.370515383,0.162272008,0
Nyzhnya Duvanka,Luhansk,49.58464,38.17429,0.044577778,0.2303207,0.071563323,0.010873341,0.200918082,0
Nyzhnoderevechka,Luhansk,48.21567,39.77485,0.909566667,0.364431487,0.144145993,0.009915682,0.073614476,0
Nizhniy Sukhodil,Luhansk,49.00822,38.73504,0.077655556,0.346938776,0.285557294,0.00784662,0.466789261,0
Nyzhniy Naholchyk,Luhansk,48.0156,39.07092,0.364644444,0.341107872,0.381300493,0.010126359,0.086298088,1
Nyzhniy Minchenok,Luhansk,48.84748,39.46491,0.821966667,0.233236152,0.189139289,0.011763453,0.142793659,0
Plotyna,Luhansk,48.79856,39.47428,0.778133333,0.265306122,0.090470146,0.011763453,0.136722962,0
Nyzhnye,Luhansk,48.77527,38.62392,0.298377778,0.15451895,0.021171135,0.232632987,0.527809512,1
Nyzhnoteple,Luhansk,48.79487,39.35065,0.5225,0.125364431,0.503493379,0.011763453,0.198155641,0
Nizhnopokrovka,Luhansk,49.21364,38.63778,0.115855556,0.241982507,0.024176041,0.015800481,0.377192131,0
Nizhne-Bogdanovka,Luhansk,48.9,39.33333,0.588577778,0.233236152,0.566425381,0.01174308,0.195849433,0
Nyzhnobaranykivka,Luhansk,49.08651,39.82526,0.222177778,0.174927114,0.017531143,0.007272797,0.00935679,0
Mykilske,Luhansk,49.52493,39.95708,0.112277778,0.373177843,0.049436287,0.007947846,0.029205648,0
Mykilske,Donetsk,48.92009,37.45555,0.205811111,0.326530612,0.388438653,0.01280105,0.653235725,0
Mykilske,Donetsk,48.68615,36.77886,0.116144444,0.288629738,0.022458766,0.009694312,0.873061027,0
Nikolskoye,Luhansk,48.13333,39.85,0.791777778,0.565597668,0.141156141,0.005892825,0.021844458,0
Mykilske,Donetsk,47.7553,37.30208,0.198,0.475218659,0.186024822,0.026227281,0.573342465,0
Nikolskiy,Luhansk,49.4,39.21667,0.192977778,0.466472303,0.246483037,0.01138511,0.206038691,0
Mykolaypillya,Donetsk,48.52661,37.55692,0.272111111,0.516034985,0.503370102,0.007055298,0.689375736,0
Sosnivka,Luhansk,49.7725,38.96083,0.1098,0.212827988,0.140201181,0.010089722,0.017429055,0
Mykolayivka,Luhansk,49.70892,38.57402,0.165988889,0.475218659,0.283324302,0.007060534,0.146033061,0
Mykolayivka,Donetsk,48.85433,37.77511,0.254888889,0.309037901,0.39677605,0.356646526,0.620378566,1
Nikolayevka,Donetsk,48.78333,37.21667,0.193244444,0.411078717,0.092988807,0.011608882,0.791320833,0
Mykolayivka,Luhansk,48.77253,38.33518,0.187633333,0.358600583,0.36598097,0.016443633,0.586049958,0
Nikolayevka,Donetsk,48.74417,38.05369,0.104955556,0.204081633,0.149567336,0.013675658,0.664102296,0
Mykolayivka,Luhansk,48.58796,39.5202,0.798855556,0.125364431,0.520639389,0.011763453,0.078996055,0
Mykolayivka,Donetsk,48.5745,37.80372,0.227444444,0.457725948,0.172359406,0.375495031,0.630423037,0
Nikolayevka,Donetsk,48.33333,37.68333,0.3134,0.434402332,0.274896303,0.008409588,0.560509044,0
Mykolayivka,Donetsk,48.32059,37.34465,0.321133333,0.451895044,0.085483100289730607,0.011367429,0.69327155,0
Mykolayivka,Donetsk,48.18691,37.38848,0.376855556,0.623906706,0.164499136,0.012542586,0.628765748,0
Mykolayivka,Donetsk,47.99937,38.24408,0.8209,0.268221574,0.124618023,0.013620966,0.230631531,0
Mykolayivka,Donetsk,47.65446,37.68021,0.556511111,0.49271137,0.02462973,0.025781362,0.35263603,1
Mykolayivka,Donetsk,47.36778,37.8576,0.441033333,0.157434402,0.277650514,0.011152706,0.209281933,0
Nikitovka,Donetsk,48.36778,38.03684,0.658488889,0.673469388,5.22796745746583e-4,0.354250406,0.466707706,1
Mykytivka,Luhansk,48.34056,38.89694,0.263722222,0.620991254,0.229784552,0.011511848,0.262516358,1
Nikishyne,Donetsk,48.24126,38.52659,0.5982,0.909620991,0.384604397,0.007299015,0.275741806,1
Mykyshivka,Luhansk,48.24088,39.95009,0.915066667,0.183673469,0.728437454,0.009943222,0.007144708,1
Nykyforove,Donetsk,48.00771,38.8534,0.590044444,0.650145773,0.091610842,0.052733577,0.076004187,1
Nykyforivka,Donetsk,48.76898,37.90057,0.079366667,0.364431487,0.334810288,0.013149345,0.655430955,0
Nykanorivka,Donetsk,48.41979,37.25972,0.216811111,0.504373178,0.398738623,0.009454298,0.765676356,0
Nezhuryne,Luhansk,49.38336,38.05117,0.139088889,0.408163265,0.136558852,0.010873341,0.304544012,0
