municipality,region,latitude,longitude,russian_lang,elev,dist_road,pop_density,dist_russia,rebel_violence
Zelenyy,Luhansk,49.38694,39.12778,0.132955556,0.419825073,0.545087179,0.013701479,0.229171529,1
Zelene,Donetsk,48.76205,36.78368,0.147088889,0.370262391,0.339355131,0.009721324,0.83058659,1
Zelene,Donetsk,48.21458,37.19029,0.1359,0.416909621,0.198879806,0.011367429,0.731751796,1
Khutor Zelenyy,Donetsk,48.01667,37.45,0.358655556,0.373177843,0.355851344,0.027643038,0.54867914,1
Zelene Pole,Donetsk,47.82692,36.62249,0.157077778,0.448979592,0.077826522,0.011068547,0.895576431,0
Zelene,Donetsk,47.94552,38.17179,0.698077778,0.533527697,0.045203329,0.032161042,0.219183963,1
Zelenopillya,Luhansk,47.92045,39.48381,0.191644444,0.641399417,0.080998629,0.005102762,0.034982626,0
Zelena Dolyna,Donetsk,49.13204,37.80346,0.1624,0.411078717,0.168761439,0.009892355,0.464797329,0
Zaytseve,Donetsk,48.5257,38.07145,0.214288889,0.381924198,0.292176462,0.013675658,0.543210076,1
Zaytseve,Donetsk,48.39455,38.02965,0.589455556,0.498542274,0.07715034,0.353275963,0.482188261,1
Zayikivka,Luhansk,49.45417,38.76275,0.051555556,0.209912536,0.47129675,0.00709268,0.224261181,0
Zayichenko,Donetsk,47.18083,37.86137,0.360888889,0.139941691,0.040992943,0.016223006,0.211578118,1
Zayachiy,Donetsk,48.33333,37.45,0.259022222,0.533527697,0.008639397,0.011276477,0.652340651,0
Zavodyanka,Luhansk,49.61742,38.81204,0.076333333,0.43148688,0.380660099,0.00709268,0.130192614,0
Koloniya,Donetsk,47.13799,37.5989,0.631555556,0.151603499,0.064547674,0.939437082,0.264273008,1
Zavitne Bazhannya,Donetsk,47.72046,36.81878,0.254733333,0.335276968,0.113938673,0.010990025,0.776251296,0
Zavydo-Kudasheve,Donetsk,48.46388,36.93722,0.050511111,0.335276968,0.154016372,0.009454298,0.927345969,0
Zavydo-Borzenka,Donetsk,48.51234,36.93029,0.058722222,0.524781341,0.217349208,0.009476544,0.945854663,0
Zatyshne,Donetsk,47.52055,37.3251,0.3632,0.513119534,0.35122686,0.025781362,0.520813996,0
Zaporozhye,Luhansk,48.27361,38.71939,0.467055556,0.87755102,0.239182167,0.02471945,0.24119689,0
Zaporizhzhya,Donetsk,48.10348,36.9935,0.204011111,0.475218659,0.572289447,0.011367429,0.801150867,0
Urochishche Zaporozhye,Donetsk,47.81745,37.1602,0.189766667,0.510204082,0.193067923,0.027643038,0.659451296,0
Zaporozhets,Donetsk,47.37342,37.9732,0.403288889,0.311953353,0.28260349,0.011600403,0.145789866,0
Zaparo-Maryivka,Donetsk,48.80075,37.0464,0.113666667,0.483965015,0.097016382,0.009720838,0.834768492,0
Zakhidne,Luhansk,48.4,39.05306,0.354722222,0.32361516,0.309865314,0.030088415,0.302002882,0
Chermalyk,Donetsk,47.31595,37.80865,0.267066667,0.198250729,0.032655262,0.011491616,0.23462383137384701,1
Zamostya,Luhansk,48.57194,39.06361,0.442433333,0.16909621,0.302070238,0.024215382,0.335781203,0
Zamkovka,Luhansk,48.46667,38.68333,0.567288889,0.513119534,0.087639852,0.165365001,0.351386829,0
Zalyman,Luhansk,49.26203,38.16881,0.1101,0.198250729,0.206186214,0.014118785,0.38053419,0
Zalesnoye,Donetsk,48.03104,38.80934,0.832533333,0.801749271,0.066598208,0.201651238,0.096007631,0
Zakotne,Luhansk,49.46831,38.97365,0.044077778,0.180758017,0.494502027,0.010089722,0.188600357,1
Zakotnoye,Donetsk,48.89702,37.9652,0.133533333,0.27696793,0.003816929,0.009901633,0.580137295,1
Zakharivka,Donetsk,47.13976,36.98339,0.276288889,0.212827988,0.01398446,0.012142569,0.491271868,0
Zaaydarivka,Luhansk,49.58507,39.0971,0.076677778,0.212827988,0.031703758,0.010089722,0.133456706,0
Zadorozhnyy,Donetsk,47.7,38.43333,0.4066,0.387755102,0.102536812,0.015849296,0.037877827,0
Zachativka,Donetsk,47.49823,37.15178,0.442622222,0.422740525,0.026577017,0.025045265,0.561009463,0
Yuzhna Lomuvatka,Luhansk,48.43824,38.53022,0.501677778,0.932944606,0.118561008,0.049556809,0.367768615,0
Shcheglovka,Luhansk,48.50452,38.97841,0.465088889,0.227405248,0.04695885,0.027753705,0.359187714,0
Yuryivka,Donetsk,48.38563,36.90043,0.055855556,0.32361516,0.223280641,0.009488243,0.921648486,0
Yuryivka,Donetsk,46.9359,37.19444,0.748355556,0.043731778,0.062897576,0.013302488,0.331760657,0
Yurkovka,Luhansk,49.83333,38.15,0.743711111,0.489795918,0.067115801,0.006915213,0.059971388,0
Yurkivka,Donetsk,48.77629,37.80132,0.210555556,0.61516035,0.023801502,0.012935478,0.66015838,0
Yurkovka,Luhansk,48.38333,38.96667,0.213566667,0.43148688,0.552463852,0.030088415,0.29060031,0
Yunokomunarivsk,Donetsk,48.22225,38.2717,0.642544444,0.559766764,0.03061628,0.245330637,0.346301783,1
Yuvileyne,Luhansk,48.56067,39.1886,0.476466667,0.294460641,0.031204213,0.282366203,0.266226143,0
Yezhachiy,Luhansk,49.305,40.09389,0.235233333,0.329446064,0.411099043,0.007947846,0.045621692,0
Yevsuh,Luhansk,49.20434,39.31198,0.113822222,0.282798834,0.003417474,0.007272797,0.220390733,1
Evhenivka,Donetsk,47.67018,37.08529,0.176711111,0.498542274,0.084865038,0.017129828,0.662342614,0
Yesaulivka,Luhansk,48.05115,39.02372,0.480988889,0.236151603,0.064157192,0.235585881,0.104824611,0
Yepifanivka,Luhansk,49.08163,38.57758,0.087377778,0.201166181,0.028707172,0.014118785,0.459021591,0
Yenakiyeve,Donetsk,48.23331,38.21137,0.644611111,0.606413994,0.078837743,0.33336632188181903,0.362585975,1
Yelizavetovka,Donetsk,48.7,37.2,0.179577778,0.524781341,0.040386028,0.009694312,0.835247121,0
Yelyzavetivka,Donetsk,47.88752,37.2997,0.180577778,0.367346939,0.042505909,0.027643038,0.59547429,0
Yelyzaveto-Mykolayivka,Donetsk,47.82644,38.34206,0.361055556,0.457725948,0.192524681,0.015849296,0.122669452,1
Yelenovskiy,Donetsk,47.74333,38.14222,0.506066667,0.300291545,0.208731104,0.018529366,0.139807884,0
Katerynivka,Donetsk,48.58464,36.88601,0.042444444,0.346938776,0.01614633,0.009694312,0.936481325,0
Yekaterinovka,Luhansk,48.44083,38.43972,0.242833333,0.644314869,0.455026256,0.046204519,0.395433411,0
Katerynivka,Donetsk,48.41852,37.75665,0.122211111,0.434402332,0.338138266,0.007055298,0.571258052,0
Katerynivka,Donetsk,47.87464,37.34466,0.112144444,0.393586006,0.024257097,0.027643038,0.569137407,1
Yekaterino-Khoprov,Donetsk,47.6,38.26667,0.448444444,0.21574344,0.030447875,0.018529607,0.032963719,0
Yehorivka,Luhansk,47.98047,39.19135,0.362811111,0.244897959,0.174776999,0.010149507,0.067454913,0
Ehorivka,Donetsk,47.70757,37.2232,0.262277778,0.516034985,0.020873725,0.025781362,0.606823303,0
