year,state,Asian,Black,Hispanic,Indigenous,White,Female,Male,age20,age3045,age4565,age65,total
1990,SD,0.003799939,0.003746873,0.005293382,0.05658972,0.930570086,0.513740429,0.486259571,0.285571602,0.407345918,0.216338792,0.090743689,527640
1990,TN,0.006048583,0.145961525,0.006118679,0.001919641,0.839951572,0.526427213,0.473572787,0.29388444,0.434417419,0.204252486,0.067445656,3880413
1990,TX,0.017866751,0.111269881,0.23207646,0.003168496,0.635618413,0.513425273,0.486574728,0.323705013,0.443712401,0.17684979,0.055732796,12911805
1990,UT,0.01951648,0.006379455,0.046231387,0.011930734,0.915941944,0.510584742,0.489415259,0.360953656,0.422737996,0.164278066,0.052030283,1195400
1990,VA,0.024392319,0.176458325,0.024415617,0.002258297,0.772475441,0.514838166,0.485161834,0.311012048,0.452253141,0.18310072,0.053634091,4936021
1990,VT,0.005245035,0.002838994,0.005905738,0.002719481,0.983290752,0.516890772,0.483109228,0.294042172,0.454261535,0.186025116,0.065671177,443467
1990,WA,0.04077256,0.027423098,0.037131917,0.0141931,0.880479325,0.508722642,0.491277358,0.286712274,0.461392179,0.188571046,0.063324501,3791913
1990,WI,0.00866539,0.041863866,0.015580446,0.00673171,0.927158588,0.517452835,0.482547165,0.291534791,0.428355991,0.202834889,0.077274329,3801560
1990,WV,0.003770476,0.029710763,0.004062761,0.001113466,0.961342534,0.527965405,0.472034595,0.26791811,0.421692692,0.231681738,0.07870746,1436954
1990,WY,0.005783605,0.006981637,0.049721295,0.016639667,0.920873796,0.503539507,0.496460493,0.281809088,0.474589025,0.18619666,0.057405227,338889
1991,AK,0.035468744,0.036299302,0.028360424,0.13730933,0.762562201,0.469807247,0.530192753,0.313239641,0.554441668,0.114583106,0.017735586,411771
1991,AL,0.005416753,0.233148104,0.005717804,0.003813319,0.751904019,0.529457691,0.470542309,0.293164546,0.427868176,0.208624676,0.070342602,3218718
1991,AR,0.00495761,0.141736431,0.007741367,0.004983381,0.840581212,0.525713911,0.474286089,0.279421516,0.415331117,0.2207672,0.084480168,1862591
1991,AZ,0.015024877,0.026792435,0.170066046,0.043379864,0.744736777,0.510724255,0.489275745,0.295834272,0.427677217,0.207072417,0.069416093,2911904
1991,CA,0.094693042,0.067764581,0.237407194,0.006195548,0.593939634,0.503003801,0.496996199,0.313369458,0.455648517,0.17473361,0.056248414,23395024
1991,CO,0.017311361,0.036926429,0.118642019,0.006423679,0.820696513,0.508381067,0.491618933,0.285600081,0.488391456,0.172494967,0.053513495,2621862
1991,CT,0.015489541,0.074400175,0.058539591,0.001859363,0.849711329,0.522337436,0.477662564,0.272024745,0.448722333,0.205449658,0.073803263,2651983
1991,DC,0.021340696,0.624821812,0.054991874,0.002206144,0.296639474,0.5405032,0.4594968,0.323294881,0.426394662,0.184411648,0.065898809,500874
1991,DE,0.01415196,0.156322014,0.022290034,0.003027386,0.804208605,0.521909056,0.478090944,0.295130165,0.438528642,0.206341714,0.05999948,538088
1991,FL,0.011683366,0.115367789,0.122684054,0.00250779,0.747757002,0.521857895,0.478142105,0.25202792,0.404457805,0.247011414,0.096502861,10786789
1991,GA,0.012019909,0.251103174,0.017673657,0.001870302,0.717332959,0.521506632,0.478493368,0.312319704,0.460052244,0.174080575,0.053547477,5158525
