commune,year,kontakt,burgle,violentcrime,violentcrime_rate,drug_smuggling,drug_total,drug_trafficking,murder,murderrate,age1565,lowbracket,pop,pctforeign,eAdminhead,eEducationhead,eHospitalHealthInsurance,eHousinghead,eSocialhead,eTotalhead,eTraffichead,eUtilitieshead,lowincome,lowincome_rate,sd_share,seatsCDP,seatsCPP,seatsCoPP,seatsDPP,seatsDR,seatsLDP,seatsPP,seatsSDP,seatsSLP,seatsSPP,seatsSlesvig,seatsUL,seatsmisc,totalseats,unemp_rate,unemployed,pct1565,crime_vtheft
Holsted,2004,14253,29,7,1.004736662,0,1,1,0,0,4696,429,6967,0.03617052,4.18300581,8.557772636,0,0.406344205,24.08167076,38.3561058,1.620353103,-0.493038625,3266,0.468781412,0.200000003,0,0,1,1,0,7,0,3,0,0,0,0,3,15,0.021099469,147,0.674034715,36
Horsens,2004,275723,648,284,4.891407013,0,21,21,0,0,41599,2802,58061,0.056096174,4.495909691,8.243485451,0,0.714851618,29.13499641,42.14093781,0.937031746,-1.385336161,21404,0.368646771,0.479999989,0,0,2,1,0,8,0,12,0,2,0,0,0,25,0.03987186,2315,0.716470599,932
Hundested,2004,20626,56,33,3.379416227,0,9,9,0,0,6983,515,9765,0.037071172,5.365181923,9.367025375,0,1.051817775,26.81188011,42.9266777,0.724936008,-0.394162834,3386,0.34674859,0.545454562,0,0,1,1,0,2,0,6,0,1,0,0,0,11,0.026523298,259,0.715104938,89
Hvalsø,2004,15968,44,12,1.530807495,0,0,0,0,0,5580,432,7839,0.031253986,5.044520855,11.17043018,0,0.868860841,21.19556046,38.20027924,0.696389854,-0.775481582,3107,0.396351576,0.230769232,0,0,2,0,0,5,0,3,0,0,0,0,3,13,0.021431305,168,0.71182549,56
Hvidebæk,2004,12675,46,19,3.496503353,0,0,0,0,0,3788,311,5434,0.01472212,4.710158348,8.693043709,0,0.58630842,26.19194031,41.03845978,1.362716198,-0.50570482,1840,0.338608772,0.266666681,0,0,0,0,0,4,0,4,0,0,0,0,7,15,0.036989328,201,0.697092354,65
Hvidovre,2004,142514,492,168,3.363228559,1,6,5,2,4.00E-05,34831,2351,49952,0.066583924,5.543622017,8.506546021,0,1.083600283,30.10692215,45.53859711,0.927590489,-0.629684508,17168,0.343689948,0.523809552,0,0,1,1,0,3,0,11,0,1,0,0,4,21,0.036234785,1810,0.697289407,660
Hvorslev,2004,9037,34,8,1.171989441,0,0,0,0,0,4566,337,6826,0.023586288,4.601963043,8.83240509,0,0.485057145,21.71711159,36.80383682,1.611338973,-0.444037497,2158,0.316144168,0.333333343,0,0,2,0,0,8,0,5,0,0,0,0,0,15,0.025197772,172,0.668913007,42
Høje Taastrup,2004,170233,349,212,4.653613091,0,4,4,0,0,32954,2406,45556,0.086772323,5.847111225,11.4616518,0,0.879489005,27.17416,45.84647369,0.947559059,-0.463495493,16662,0.36574766,0.523809552,0,0,3,2,0,4,0,11,0,1,0,0,0,21,0.031170428,1420,0.723373413,561
Højer,2004,7120,8,11,3.722504139,0,1,1,0,0,1973,192,2955,0.058206432,5.786125183,7.661590576,0,0.74856174,25.4778347,40.70862961,1.375296116,-0.340778351,1293,0.437563449,0.384615391,0,0,1,0,0,4,0,5,0,0,1,0,2,13,0.027411168,81,0.667681873,19
Højreby,2004,15704,23,8,1.969473243,0,0,0,0,0,2826,255,4062,0.026341703,5.935499668,8.181437492,0,0.509847343,30.02240181,45.19029999,1.569177747,-1.028064966,1580,0.388970941,0.461538464,0,0,0,1,0,5,0,6,0,0,0,0,1,13,0.040866569,166,0.695716381,31
